Date,Session,Clan,Rating,Opponent,#,Map,Notes,Ya,Sk,Mo,Oh,Kr,GK,Co,Th,Re,Bo,Za,DM,Sa,Hi,Go,He,Ve,Yo,PR,Pp,Mk,St,Wo,Nv,Sm,Mi,Co,Sh,Hg,Hy,Ge,So,Gr,Kh,52,Da,Kl,Ma,PE,Hd,Sd,YY,Hk,Md,FR,MR,Au,X,,0,Points
15/4,1.1,KSD,A,ANZ4C,script,Tears of the Desert,,,,,1,,,,,,,,2,,,,,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,29
15/4,1.1,KSD,A,BIGGS,script,Crash Zone Alpha,,,,,,,1,,,,,,1,,,,,,,,,1,1,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,W,20
15/4,1.1,KSD,A,-VT-,script,North,,,,,,,,,,,,,1,,1,,,,,2,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,W,S
15/4,1.1,KSD,A,PN,script,Haven,,,,,,,,,,,,,,,1,,,1,,1,,,2,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,L,S
15/4,1.1,KSD,A,-AFK-,script,Northern Waters,,,,,1,,,,,,,,1,,,,,,,2,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,W,S
15/4,1.1,KSD,A,PEEDZ,script,North,,,,,,,,,,,,,,,,,,,1,1,,,2,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,W,44
15/4,1.1,KSD,A,SCCC,script,Warrior's Path,,,,,,,,,,,,,,,,,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,L,-19
15/4,1.1,KSD,A,KSC,script,Tears of the Desert,,,,,,,,,,,,,,,,,,,,1,,,3,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,W,30
15/4,1.1,KSD,A,NEON,script,Land of Fire,,,,,,,,,,,,,,,,1,,2,,1,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,L,-19
15/4,1.1,KSD,A,MORSV,script,Warrior's Path,,,,,,,,,,,,,1,1,,,,1,,,,,,1,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,W,30
15/4,1.1,KSD,A,-ARP-,script,Haven,,,,,,,,,,,,,,,,,,,1,1,,,2,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,W,29
15/4,1.1,KSD,A,RE,script,Tears of the Desert,,,,,,,,,,,,1,2,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,W,30
15/4,1.1,KSD,A,R-F,script,North,,,,,,,,,,,,,,,,,,1,,1,,,1,1,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,L,-16
16/4,1.2,KSD,A,CYPHR,script,Crash Zone Alpha,,1,,,,,,,,,,,1,,,,,1,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,W,30
16/4,1.2,KSD,A,R-F1,script,Northern Waters,,,,,,,,,,,,,2,,,,,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,L,-14
16/4,1.2,KSD,A,NEON,script,North,,,,,,,,,,,,,,,,2,,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,W,28
16/4,1.2,KSD,A,R-F,script,Land of Fire,,,,,,,,,,,,,,,,,,1,,1,,,2,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,L,-15
16/4,1.2,KSD,A,KAG,script,Northern Waters,,,,,,,,,,,,,,,,,,,,,,,3,2,,1,,,,,,,,,,,,,,,,,,1,,,,,,,L,-15
16/4,1.2,KSD,A,CCTV2,script,North,,,,,,,,,,,,,,,2,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,L,-14
16/4,1.2,KSD,A,RBMK,script,Tears of the Desert,,,,,,,,,,,,,,,,,,2,,2,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,L,-16
16/4,1.2,KSD,A,90THG,script,Northern Waters,,,,,,,,,,,,1,,,,,3,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,W,31
16/4,1.2,KSD,A,STAR,script,Crash Zone Alpha,,,,,,,,,,,,,1,,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,W,31
16/4,1.2,KSD,A,LUSOS,script,Haven,,,,,,1,,,,,,,,2,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,30
16/4,1.2,KSD,A,B-Z,script,Warrior's Path,,,,,,,,,,,,,,,,,,1,,1,,,3,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,L,-16
