,,Date,Session,Clan,Rating,Opponent,#,Map,Notes,Ya,Mo,Oh,Kr,GK,Co,Th,Re,Bo,Za,DM,Sa,Hi,Go,He,Ve,Yo,PR,Mk,St,Wo,Sm,Mi,Co,Sh,Hg,Hy,Ge,So,Gr,Kh,52,Da,Kl,Ma,PE,YY,X,,486,Points
,,2019-11-25T03:55:31+00:00,,KSD,A,RKN,,Warrior's Path,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,1,,,,,,,L,-14
,,2019-11-25T03:42:11+00:00,,KSD,A,5D,,Sea of Fortune,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,1,,,,1,,,,,,,,,1,,,L,-27
,,2019-11-25T03:25:20+00:00,,KSD,A,TNG-2,,North,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,2,1,,,,,,,,1,,,W,19
,,2019-11-25T03:06:14+00:00,,KSD,A,EBOY,,Hotspot,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,1,,,,,,L,-7
,,2019-11-25T02:52:19+00:00,,KSD,A,CCTV2,,Sea of Fortune,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,2,3,,,,,,,,,,,L,-26
,,2019-11-25T02:41:31+00:00,,KSD,A,-K-,,Shards,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,1,,1,,,1,,,,,,L,-22
,,2019-11-25T02:35:34+00:00,,KSD,A,NEON,,Land of Fire,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,W,17
,,2019-11-25T02:23:29+00:00,,KSD,A,AP,,North,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,1,,2,,,,,,1,,,W,18
,,2019-11-25T02:03:41+00:00,,KSD,A,CVR,,Shards,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,1,,,,,,,,,,,W,21
,,2019-11-25T01:36:13+00:00,,KSD,A,CUTE,,Shards,,,,,,,,,,,,1,,,,,,,,1,,1,,,,1,1,,,1,,,,,,1,,,,,,W,19
,,2019-11-25T01:18:25+00:00,,KSD,A,CCTV2,,Hotspot,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,3,3,,,,,,,,,,,W,19
,,2019-11-25T01:02:27+00:00,,KSD,A,R-F,,Land of Fire,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,W,22
,,2019-11-25T00:45:18+00:00,,KSD,A,TNG-3,,Warrior's Path,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,2,1,,,,,,,,,,,L,-25
,,2019-11-24T04:39:31+00:00,,KSD,A,-ZF-,,Crash Zone Alpha,,,,,,,,,,,,1,,,,,1,,,,1,2,1,,,,,,,1,,,,,,,,,,,,W,22
,,2019-11-24T04:21:20+00:00,,KSD,A,KILL,,Shards,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,1,,2,,,,,,1,,,W,16
,,2019-11-24T03:47:35+00:00,,KSD,A,NAIVE,,Land of Fire,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,1,,,2,,,,,,,,,W,24
,,2019-11-24T03:29:21+00:00,,KSD,A,NGAGE,,Crash Zone Alpha,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,1,,,2,,,,,,1,,,L,-20
,,2019-11-24T03:14:25+00:00,,KSD,A,STW,,Warrior's Path,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,2,,1,,,,,,1,,,W,20
