,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Date,Session,Clan,Rating,Opponent,#,Map,Notes,Ya,Mo,Oh,Kr,GK,Co,Th,Re,Bo,Za,DM,Sa,Hi,Go,He,Ve,Yo,PR,Mk,St,Wo,Sm,Mi,Co,Sh,Hg,Hy,Ge,So,Gr,Kh,52,Da,Kl,Ma,PE,YY,X,,486,Points
,1,23/10,1.1,KSC,A,CUTER,8,Hotspot,,,,,2,,,,,,,1,,,,,,,,1,1,,1,,1,,,,,,,,,,1,,,,-,,L,-27
,2,,1.1,KSC,A,GAISHU,2,Land of Fire,,,,,,,,,1,1,,,,,,,,,,,2,,,,,,,,,,,,,,4,,,,-,,L,-26
,3,,1.1,KSC,A,SHADY,374,Hotspot,,1,,,1,,,,,,,,,1,,,,,,,,1,,3,,,,,,,,,,,1,,,,-,,W,32
,4,,1.1,KSC,A,1NJS,343,Sea of Fortune,,2,,,,,,,,,,1,,1,,,,,,1,2,,,,,,1,,,,,,,,,,,,-,,W,32
,5,,1.1,KSC,A,FLTF1,212,Shards,,1,,,1,,,,,,,2,,,,,,,,1,,1,,,,1,,,,,,,,1,,,,,-,,W,30
,6,,1.1,KSC,A,-CHL-,348,Sea of Fortune,,,1,,,1,,,,,,,,,,,,2,,,1,1,,,,1,,,1,,,,,,,,,,-,,W,S
,7,,1.1,KSC,A,TAFFY,363,Hotspot,,,2,,,,,,,,,3,,,,,,1,,,,,,,,,,,2,,,,,,,,,,-,,W,S
,8,,1.1,KSC,A,WAKE,131,Shards,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,2,,1,,,,,-,,W,S
,9,,1.1,KSC,A,STURM,97,Warrior's Path,,,,,1,,,1,,,,2,,1,,,,,,,1,,1,,,,,,,,,,,,1,,,,-,,W,56
,10,,1.1,KSC,A,GAISHU,2,Hotspot,,,,,1,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,3,,,1,-,,W,30
,11,,1.1,KSC,A,PWP,4,North,,1,,,1,,,,,,,1,,,,1,,,,1,1,,,,,,,,,,1,,,1,,,,,-,,L,-18
,12,,1.1,KSC,A,CEWL,360,Land of Fire,,,,,,2,,,,,,2,,,,,,,,,2,,,,,,,,,1,,1,,,,,,,-,,W,30
,13,,1.1,KSC,A,STURM,97,Sea of Fortune,,,,,1,,,1,,,,2,,1,,,,,,,1,,1,,,,,,,,,,,,1,,,,-,,L,-18
,14,,1.1,KSC,A,-AFK-,218,North,,1,,,1,,,,,,,1,1,,,,,,,1,,1,,,,,,,,,,,,1,1,,,,-,,W,29
,15,,1.1,KSC,A,R-F1,93,Land of Fire,,1,,,1,,,,,,,1,,1,,,,,,,1,,1,,,,,,,,,,,1,1,,,,-,,W,32
,16,,1.1,KSC,A,PEEDZ,38,Warrior's Path,,,,,1,,1,,,,,1,,,,,,1,,1,,,1,,,1,,,,1,,,,,,,,,-,,L,-17
,17,,1.1,KSC,A,R-F1,93,North,,1,,,1,,,,,,,1,,1,,,,,,,1,,1,,,,,,,,,,,1,1,,,,-,,W,32
,18,,1.1,KSC,A,NEON,79,Shards,,,1,,1,,,,,,1,1,,,,2,,,,1,1,,,,,,,,,,,,,,,,,,-,,L,-17
,19,,1.1,KSC,A,TQL,53,Sea of Fortune,,2,,,,,,,,,,1,,,,2,,,,,2,,,,,,,,1,,,,,,,,,,-,,W,29
,20,,1.1,KSC,A,-BRS-,33,Land of Fire,,,,,2,,,,,,,1,,,,,,1,,1,,,1,,,,,,,2,,,,,,,,,-,,L,-17
,21,,1.1,KSC,A,QQ7,20,North,,1,,,1,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,1,1,,,,-,,W,30
,22,,1.1,KSC,A,O7,1,Shards,,,,,2,,,,,,,,,,,,,,,2,3,,1,,,,,,,,,,,,,,,,-,,L,-14
,23,,1.1,KSC,A,UR,14,Hotspot,,,,,1,,,1,,,,1,,,,,,,,,2,,1,,,,,,,,1,,,1,,,,,-,,W,31
,24,,1.1,KSC,B,LEW,354,North,,,,,,1,1,,,,,,,,,,,3,,,,1,,,,,,,1,,1,,,,,,,,-,,W,28
,25,,1.1,KSC,B,ARMDA,321,Shards,,1,1,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,-,,W,28
,26,,1.1,KSC,B,GROGS,167,Hotspot,,,1,,1,,,,,,,2,,,,,,,,1,1,,,,,,,,1,,,,,1,,,,,-,,W,30
,27,,1.1,KSC,B,LARP,323,North,,,,,2,,,,,,,,,,,,,,,,,,3,,,3,,,,,,,,,,,,,-,,W,30
,28,,1.1,KSC,B,PWP,4,Shards,,1,,,1,,,,,,,1,,,,1,,,,,1,,1,,,,,,,,1,,,1,,,,,-,,L,-19
,1,24/10,1.2,KSC,A,GAISHU,2,North,,1,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,1,,,,3,,,,-,,L,-12
,2,,1.2,KSC,A,TQL,53,Crash Zone Alpha,,1,,,1,,,,,,,1,,,,1,,,,,2,,,,,1,,,,,,,1,,,,,,-,,W,32
,3,,1.2,KSC,A,RNG,35,Warrior's Path,,1,,,1,,,,,,,,,,,,,,,,2,,2,,,1,,,,,,,1,,,,,,-,,W,31
